time,x,y,vx,vy,speed
0.000000,14.796670,10.533332,0.000000,-0.000000,0.000000
0.444444,14.763337,10.499999,-0.150000,-0.149999,0.212131
0.888889,14.696670,10.433333,-0.150000,-0.149998,0.212131
1.333333,14.630004,10.366667,-0.150000,-0.149999,0.212131
1.777778,14.563337,10.300001,-0.150000,-0.149998,0.212131
2.222222,14.496671,10.233335,-0.150000,-0.149999,0.212131
2.666667,14.430004,10.166669,-0.150000,-0.149998,0.212131
3.111111,14.363337,10.100003,-0.150000,-0.149999,0.212131
3.555556,14.296671,10.033337,-0.150000,-0.149998,0.212131
4.000000,14.263337,10.000004,-0.000000,0.000000,0.000000
4.000000,13.730005,10.533334,0.000000,-0.000000,0.000000
4.444444,13.696672,10.500001,-0.149999,-0.149999,0.212131
4.888889,13.630006,10.433334,-0.149999,-0.149999,0.212131
5.333333,13.563339,10.366668,-0.149999,-0.149999,0.212131
5.777778,13.496673,10.300002,-0.149999,-0.149999,0.212131
6.222222,13.430007,10.233336,-0.149999,-0.149999,0.212131
6.666667,13.363340,10.166670,-0.149999,-0.149999,0.212131
7.111111,13.296674,10.100004,-0.149999,-0.149999,0.212131
7.555556,13.230008,10.033338,-0.149999,-0.149999,0.212131
8.000000,13.196675,10.000004,-0.000000,-0.000000,0.000000
8.000000,13.196675,10.000004,0.000000,-0.000000,0.000000
8.444444,13.163342,9.966671,-0.149999,-0.149999,0.212131
8.888889,13.096675,9.900005,-0.149999,-0.149999,0.212131
9.333333,13.030009,9.833339,-0.149999,-0.149999,0.212131
9.777778,12.963343,9.766672,-0.149999,-0.149999,0.212131
10.222222,12.896676,9.700006,-0.149999,-0.149999,0.212131
10.666667,12.830010,9.633339,-0.149999,-0.149999,0.212131
11.111111,12.763343,9.566673,-0.149999,-0.149999,0.212131
11.555556,12.696677,9.500007,-0.149999,-0.149999,0.212131
12.000000,12.663344,9.466673,0.000000,0.000000,0.000000
12.000000,12.663344,9.466673,-0.000000,-0.000000,0.000000
12.444444,12.630011,9.433340,-0.150000,-0.149999,0.212131
12.888889,12.563344,9.366674,-0.150000,-0.149999,0.212131
13.333333,12.496678,9.300008,-0.150000,-0.149999,0.212131
13.777778,12.430011,9.233342,-0.150000,-0.149999,0.212131
14.222222,12.363344,9.166675,-0.150000,-0.149999,0.212131
14.666667,12.296678,9.100009,-0.150000,-0.149999,0.212131
15.111111,12.230011,9.033343,-0.150000,-0.149999,0.212131
15.555556,12.163345,8.966677,-0.150000,-0.149999,0.212131
16.000000,12.130011,8.933344,-0.000000,0.000000,0.000000
16.000000,12.130011,8.933344,-0.000000,0.000000,0.000000
16.444444,12.096678,8.900011,-0.150000,-0.149999,0.212131
16.888889,12.030012,8.833345,-0.149999,-0.149998,0.212129
17.333333,11.963346,8.766679,-0.150000,-0.149999,0.212131
17.777778,11.896679,8.700013,-0.149999,-0.149998,0.212129
18.222222,11.830013,8.633347,-0.150000,-0.149999,0.212131
18.666667,11.763347,8.566681,-0.149999,-0.149998,0.212129
19.111111,11.696680,8.500015,-0.150000,-0.149999,0.212131
19.555556,11.630014,8.433349,-0.149998,-0.149997,0.212129
20.000000,11.596681,8.400016,0.000000,0.000000,0.000000
20.000000,11.063352,7.866690,-0.000000,0.000000,0.000000
20.444444,11.086726,7.833356,0.105186,-0.149999,0.183204
20.888889,11.135300,7.766690,0.113397,-0.149999,0.188039
21.333333,11.185924,7.700024,0.114410,-0.149999,0.188651
21.777778,11.236821,7.633358,0.114626,-0.149999,0.188782
22.222222,11.287770,7.566692,0.114642,-0.149999,0.188792
22.666667,11.338718,7.500025,0.114628,-0.149999,0.188784
23.111111,11.389563,7.433359,0.114172,-0.149999,0.188507
23.555556,11.440408,7.366693,0.114632,-0.149999,0.188786
24.000000,11.465882,7.333360,-0.000000,-0.000000,0.000000
24.000000,11.965734,7.347426,-0.000000,0.000000,0.000000
24.444444,11.999106,7.327402,0.149997,-0.090054,0.174954
24.888889,12.065914,7.286545,0.149997,-0.093588,0.176799
25.333333,12.132715,7.245684,0.149997,-0.090083,0.174969
25.777778,12.199510,7.204664,0.149997,-0.094313,0.177183
26.222222,12.266296,7.163365,0.149997,-0.091351,0.175625
26.666667,12.333076,7.121883,0.149997,-0.095141,0.177626
27.111111,12.399848,7.080021,0.149997,-0.093078,0.176529
27.555556,12.466604,7.036735,0.149997,-0.101567,0.181149
28.000000,12.499956,7.014158,0.000000,-0.000000,0.000000
28.000000,12.772980,6.477375,0.000000,0.000000,0.000000
28.444444,12.739632,6.444060,-0.149998,-0.149999,0.212129
28.888889,12.672900,6.377470,-0.149998,-0.149999,0.212129
29.333333,12.606156,6.310892,-0.149998,-0.149999,0.212129
29.777778,12.539409,6.244317,-0.149998,-0.149999,0.212129
30.222222,12.472661,6.177741,-0.149998,-0.149999,0.212129
30.666667,12.405917,6.111160,-0.149998,-0.149999,0.212129
31.111111,12.339180,6.044571,-0.149998,-0.149999,0.212129
31.555556,12.272461,5.977960,-0.149998,-0.149999,0.212129
32.000000,12.239118,5.944637,0.000000,-0.000000,0.000000
32.000000,11.698159,5.444834,0.000000,0.000000,0.000000
32.444444,11.664810,5.416633,-0.149970,-0.127040,0.196546
32.888889,11.598073,5.361521,-0.149971,-0.121535,0.193034
33.333333,11.531345,5.309405,-0.149971,-0.113612,0.188147
33.777778,11.464638,5.259711,-0.149971,-0.110621,0.186355
34.222222,11.397952,5.212067,-0.149971,-0.104342,0.182698
34.666667,11.331287,5.166113,-0.149970,-0.102959,0.181911
35.111111,11.264638,5.121100,-0.149970,-0.100034,0.180272
35.555556,11.197998,5.075243,-0.149971,-0.106642,0.184021
36.000000,11.164675,5.051558,-0.000000,0.000000,0.000000
36.000000,11.054582,4.535172,0.000000,-0.000000,0.000000
36.444444,11.021033,4.568528,-0.150000,0.149999,0.212131
36.888889,10.953478,4.635347,-0.150000,0.149999,0.212131
37.333333,10.885890,4.702283,-0.150000,0.149999,0.212131
37.777778,10.818276,4.769324,-0.150000,0.149999,0.212131
38.222222,10.750645,4.836454,-0.150000,0.149999,0.212131
38.666667,10.683005,4.903660,-0.150000,0.149999,0.212131
39.111111,10.615363,4.970930,-0.150000,0.149999,0.212131
39.555556,10.547456,5.038066,-0.150000,0.149999,0.212131
40.000000,10.513754,5.071478,0.000000,-0.000000,0.000000
40.000000,10.513754,5.071478,0.000000,0.000000,0.000000
40.444444,10.480414,5.104817,-0.150000,0.149999,0.212131
40.888889,10.413715,5.171507,-0.150000,0.149999,0.212131
41.333333,10.347026,5.238191,-0.150000,0.149999,0.212131
41.777778,10.280302,5.304902,-0.150000,0.150000,0.212131
42.222222,10.213437,5.371714,-0.150000,0.150000,0.212132
42.666667,10.146476,5.438583,-0.150000,0.150000,0.212132
43.111111,10.079512,5.505441,-0.150000,0.150000,0.212132
43.555556,10.012650,5.572226,-0.150000,0.150000,0.212132
44.000000,9.979287,5.605577,0.000000,-0.000000,0.000000
44.000000,9.440214,6.141587,0.000000,0.000000,0.000000
44.444444,9.406870,6.174922,-0.150000,0.149989,0.212124
44.888889,9.340157,6.241601,-0.150000,0.149989,0.212124
45.333333,9.273442,6.308282,-0.150000,0.149990,0.212124
45.777778,9.206728,6.374962,-0.150000,0.149989,0.212124
46.222222,9.140020,6.441639,-0.150000,0.149989,0.212124
46.666667,9.073318,6.508314,-0.150000,0.149989,0.212124
47.111111,9.006624,6.574986,-0.150000,0.149989,0.212124
47.555556,8.939940,6.641654,-0.150000,0.149989,0.212124
48.000000,8.906604,6.674986,-0.000000,0.000000,0.000000
48.000000,8.373277,7.208310,0.000000,-0.000000,0.000000
48.444444,8.339700,7.175066,-0.149999,-0.149999,0.212130
48.888889,8.272049,7.108772,-0.149998,-0.149998,0.212130
49.333333,8.204371,7.042506,-0.149999,-0.149999,0.212130
49.777778,8.136667,6.976269,-0.149998,-0.149998,0.212129
50.222222,8.068942,6.910065,-0.149999,-0.149999,0.212130
50.666667,8.001199,6.843896,-0.149998,-0.149998,0.212129
51.111111,7.933445,6.777764,-0.149999,-0.149999,0.212131
51.555556,7.866096,6.711456,-0.149998,-0.149996,0.212128
52.000000,7.832670,6.678174,-0.000000,-0.000000,0.000000
52.000000,6.761349,5.715009,0.000000,-0.000000,0.000000
52.444444,6.728285,5.681527,-0.149999,-0.149954,0.212099
52.888889,6.662735,5.622251,-0.149999,-0.113830,0.188301
53.333333,6.596682,5.629094,-0.149999,0.149902,0.212062
53.777778,6.528927,5.693720,-0.149999,0.149977,0.212115
54.222222,6.461048,5.758266,-0.149999,0.149978,0.212116
54.666667,6.393019,5.822855,-0.149999,0.149981,0.212118
55.111111,6.324833,5.887493,-0.149999,0.149980,0.212118
55.555556,6.256488,5.952131,-0.149999,0.149964,0.212106
56.000000,6.222688,5.984916,-0.000000,-0.000000,0.000000
56.000000,4.131622,5.488513,-0.000000,0.000000,0.000000
56.444444,4.165124,5.513895,0.149999,0.119924,0.192046
56.888889,4.231799,5.548618,0.149999,0.059300,0.161296
57.333333,4.297501,5.561830,0.149999,0.023768,0.151871
57.777778,4.362403,5.560225,0.149999,-0.006400,0.150136
58.222222,4.426680,5.549380,0.149999,-0.016393,0.150893
58.666667,4.490448,5.531964,0.149999,-0.034446,0.153904
59.111111,4.553891,5.509539,0.149999,-0.037488,0.154613
59.555556,4.617304,5.483110,0.149999,-0.051099,0.158464
60.000000,4.649965,5.469960,0.000000,-0.000000,0.000000
60.100000,4.649965,5.469960,0.000000,0.000000,0.000000
60.200000,4.649965,5.469960,0.000000,0.000000,0.000000
60.300000,4.649965,5.469960,0.000000,0.000000,0.000000
60.400000,4.649965,5.469960,0.000000,0.000000,0.000000
60.500000,4.649965,5.469960,0.000000,0.000000,0.000000
