time,x,y,vx,vy
0,19,15,nan,nan
1.2,18.8287,14.813772,nan,nan
2.4,18.5931,14.796067,nan,nan
3.6,18.3575,14.778362,nan,nan
4.8,18.1219,14.760657,nan,nan
6,17.8863,14.742952,nan,nan
7.2,17.6507,14.725247,nan,nan
8.4,17.4151,14.707542,nan,nan
9.6,17.1795,14.689837,nan,nan
10.8,16.9439,14.672132,nan,nan
12,16.7083,14.654427,nan,nan
13.2,16.4727,14.636722,nan,nan
14.4,16.2371,14.619017,nan,nan
15.6,16.0015,14.601312,nan,nan
16.8,15.7659,14.583607,nan,nan
18,15.5303,14.565902,nan,nan
19.2,15.2947,14.548197,nan,nan
20.4,15.0591,14.530492,nan,nan
21.6,14.8235,14.512787,nan,nan
22.8,14.5879,14.495082,nan,nan
24,14.3523,14.477377,nan,nan
25.2,14.1167,14.459672,nan,nan
26.4,13.8811,14.441967,nan,nan
27.6,13.6455,14.424261,nan,nan
28.8,13.4099,14.406556,nan,nan
30,13.1743,14.388851,nan,nan
31.2,12.9387,14.371146,nan,nan
32.4,12.7031,14.353441,nan,nan
33.6,12.4675,14.335736,nan,nan
34.8,12.2319,14.318031,nan,nan
36,11.9963,14.300326,nan,nan
37.2,11.7607,14.282621,nan,nan
38.4,11.5251,14.264916,nan,nan
39.6,11.2895,14.247211,nan,nan
40.8,11.0539,14.229506,nan,nan
42,10.8183,14.211801,nan,nan
43.2,10.5827,14.194096,nan,nan
44.4,10.3471,14.176391,nan,nan
45.6,10.1115,14.158686,nan,nan
46.8,9.8759,14.140981,nan,nan
48,9.6403,14.123276,nan,nan
49.2,9.4047,14.105571,nan,nan
50.4,9.1691,14.087866,nan,nan
51.6,8.9335,14.070161,nan,nan
52.8,8.6979,14.052456,nan,nan
54,8.4623,14.034751,nan,nan
55.2,8.2267,14.017046,nan,nan
56.355336,8,14,nan,nan
