time,x,y,vx,vy
0.000000,7.000000,6.000000,nan,nan
1.200000,7.248395,6.168227,nan,nan
2.400000,7.530685,6.269777,nan,nan
3.600000,7.812974,6.371327,nan,nan
4.800000,8.095264,6.472877,nan,nan
6.000000,8.377554,6.574427,nan,nan
7.200000,8.659844,6.675977,nan,nan
8.400000,8.942134,6.777527,nan,nan
9.600000,9.224424,6.879077,nan,nan
10.800000,9.506714,6.980627,nan,nan
12.000000,9.789004,7.082177,nan,nan
13.200000,10.071294,7.183727,nan,nan
14.400000,10.353584,7.285277,nan,nan
21.717657,12.153241,7.613897,nan,nan
22.917657,12.430307,7.728937,nan,nan
24.117657,12.707373,7.843978,nan,nan
25.317657,12.984440,7.959018,nan,nan
26.517657,13.261506,8.074058,nan,nan
27.717657,13.538572,8.189098,nan,nan
28.917657,13.815639,8.304139,nan,nan
30.117657,14.092705,8.419179,nan,nan
31.317657,14.369771,8.534219,nan,nan
32.517657,14.646837,8.649259,nan,nan
33.717657,14.923904,8.764300,nan,nan
34.917657,15.200970,8.879340,nan,nan
42.469719,17.088982,8.875511,nan,nan
43.669719,17.264471,9.118829,nan,nan
44.869719,17.439959,9.362147,nan,nan
46.069719,17.615448,9.605465,nan,nan
47.269719,17.790937,9.848783,nan,nan
48.015495,17.900000,10.000000,nan,nan
